Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/05/2022 -> 31/05/2022,East of England,1507690,2001840
01/05/2022 -> 31/05/2022,London,1431980,2287375
01/05/2022 -> 31/05/2022,North East,643940,880715
01/05/2022 -> 31/05/2022,North West,1620145,2327795
01/05/2022 -> 31/05/2022,South East,2256135,2927420
01/05/2022 -> 31/05/2022,South West,1448230,1851905
01/05/2022 -> 31/05/2022,East Midlands,15080,22315
01/05/2022 -> 31/05/2022,East of England,21570,31505
01/05/2022 -> 31/05/2022,London,51680,77770
01/05/2022 -> 31/05/2022,North East,6735,10855
01/05/2022 -> 31/05/2022,North West,21655,35155
01/05/2022 -> 31/05/2022,South East,37250,52720
01/05/2022 -> 31/05/2022,South West,24880,34225
01/05/2022 -> 31/05/2022,East Midlands,34260,45975
01/05/2022 -> 31/05/2022,East of England,48420,64215
01/05/2022 -> 31/05/2022,London,59690,98920
01/05/2022 -> 31/05/2022,North East,14785,19510
01/05/2022 -> 31/05/2022,North West,40535,59520
01/05/2022 -> 31/05/2022,South East,87830,114380
01/05/2022 -> 31/05/2022,South West,51555,65645
01/05/2022 -> 31/05/2022,East Midlands,1932755,2338845
01/05/2022 -> 31/05/2022,East of England,2444455,2941535
01/05/2022 -> 31/05/2022,London,1934940,2579520
01/05/2022 -> 31/05/2022,North East,1037110,1267195
01/05/2022 -> 31/05/2022,North West,2680830,3435560
01/05/2022 -> 31/05/2022,South East,3654935,4320550
01/05/2022 -> 31/05/2022,South West,2356710,2750590
01/05/2022 -> 31/05/2022,East Midlands,273145,437375
01/05/2022 -> 31/05/2022,East of England,365910,568620
01/05/2022 -> 31/05/2022,London,514560,972170
01/05/2022 -> 31/05/2022,North East,130520,214260
01/05/2022 -> 31/05/2022,North West,361605,632215
01/05/2022 -> 31/05/2022,South East,602320,897030
01/05/2022 -> 31/05/2022,South West,405665,587815
01/05/2022 -> 31/05/2022,East Midlands,247035,415620
01/05/2022 -> 31/05/2022,East of England,348520,563845
01/05/2022 -> 31/05/2022,London,501865,1077365
01/05/2022 -> 31/05/2022,North East,210795,333065
01/05/2022 -> 31/05/2022,North West,376925,690030
01/05/2022 -> 31/05/2022,South East,465020,732740
01/05/2022 -> 31/05/2022,South West,287195,444595
01/05/2022 -> 31/05/2022,East Midlands,278110,562970
01/05/2022 -> 31/05/2022,East Midlands,267455,457215
01/05/2022 -> 31/05/2022,East Midlands,355700,480585
01/05/2022 -> 31/05/2022,East Midlands,514185,600930
01/05/2022 -> 31/05/2022,East Midlands,463290,506935
01/05/2022 -> 31/05/2022,East Midlands,401720,420710
01/05/2022 -> 31/05/2022,East Midlands,221795,230795
01/05/2022 -> 31/05/2022,East of England,343105,678210
01/05/2022 -> 31/05/2022,East of England,351435,588100
01/05/2022 -> 31/05/2022,East of England,484755,653945
01/05/2022 -> 31/05/2022,East of England,653385,761385
01/05/2022 -> 31/05/2022,East of England,579270,634250
01/05/2022 -> 31/05/2022,East of England,512770,537170
01/05/2022 -> 31/05/2022,East of England,304165,316660
01/05/2022 -> 31/05/2022,London,392230,933015
01/05/2022 -> 31/05/2022,London,434720,858820
01/05/2022 -> 31/05/2022,London,538275,897330
01/05/2022 -> 31/05/2022,London,615180,845535
01/05/2022 -> 31/05/2022,London,501220,615120
01/05/2022 -> 31/05/2022,London,360620,406780
01/05/2022 -> 31/05/2022,London,220490,249155
01/05/2022 -> 31/05/2022,North East,147060,313910
01/05/2022 -> 31/05/2022,North East,150140,265710
01/05/2022 -> 31/05/2022,North East,188920,260900
01/05/2022 -> 31/05/2022,North East,282300,332470
01/05/2022 -> 31/05/2022,North East,280085,305490
01/05/2022 -> 31/05/2022,North East,225725,235830
01/05/2022 -> 31/05/2022,North East,125735,130565
01/05/2022 -> 31/05/2022,North West,360415,851235
01/05/2022 -> 31/05/2022,North West,375945,728930
01/05/2022 -> 31/05/2022,North West,489625,720685
01/05/2022 -> 31/05/2022,North West,719175,881690
01/05/2022 -> 31/05/2022,North West,667120,749505
01/05/2022 -> 31/05/2022,North West,556275,590725
01/05/2022 -> 31/05/2022,North West,313000,329705
01/05/2022 -> 31/05/2022,South East,544100,1008190
01/05/2022 -> 31/05/2022,South East,532375,840795
01/05/2022 -> 31/05/2022,South East,747360,968645
01/05/2022 -> 31/05/2022,South East,983385,1130285
01/05/2022 -> 31/05/2022,South East,853750,930525
01/05/2022 -> 31/05/2022,South East,737270,772250
01/05/2022 -> 31/05/2022,South East,449120,466715
01/05/2022 -> 31/05/2022,South West,352685,639545
01/05/2022 -> 31/05/2022,South West,329770,510155
01/05/2022 -> 31/05/2022,South West,423595,543165
01/05/2022 -> 31/05/2022,South West,606870,693880
01/05/2022 -> 31/05/2022,South West,575965,624670
01/05/2022 -> 31/05/2022,South West,524165,547545
01/05/2022 -> 31/05/2022,South West,312960,323910
01/06/2022 -> 30/06/2022,East Midlands,2511155,3260520
01/06/2022 -> 30/06/2022,East of England,3239110,4170555
01/06/2022 -> 30/06/2022,London,3077305,4808420
01/06/2022 -> 30/06/2022,North East,1405900,1844805
01/06/2022 -> 30/06/2022,North West,3498075,4853215
01/06/2022 -> 30/06/2022,South East,4861420,6118855
01/06/2022 -> 30/06/2022,South West,3133590,3882890
01/06/2022 -> 30/06/2022,East Midlands,197275,313880
01/06/2022 -> 30/06/2022,East of England,294790,453590
01/06/2022 -> 30/06/2022,London,1045535,1779085
01/06/2022 -> 30/06/2022,North East,52675,81785
01/06/2022 -> 30/06/2022,North West,223500,380350
01/06/2022 -> 30/06/2022,South East,515385,735790
01/06/2022 -> 30/06/2022,South West,193740,277795
01/06/2022 -> 30/06/2022,East Midlands,2313900,2946640
01/06/2022 -> 30/06/2022,East of England,2944320,3716970
01/06/2022 -> 30/06/2022,London,2031780,3029330
01/06/2022 -> 30/06/2022,North East,1353220,1763010
01/06/2022 -> 30/06/2022,North West,3274585,4472860
01/06/2022 -> 30/06/2022,South East,4346050,5383055
01/06/2022 -> 30/06/2022,South West,2939850,3605090
01/06/2022 -> 30/06/2022,East Midlands,242885,283495
01/06/2022 -> 30/06/2022,East of England,282710,329985
01/06/2022 -> 30/06/2022,London,245730,339425
01/06/2022 -> 30/06/2022,North East,150580,175775
01/06/2022 -> 30/06/2022,North West,345510,425455
01/06/2022 -> 30/06/2022,South East,392405,454855
01/06/2022 -> 30/06/2022,South West,287820,329875
01/06/2022 -> 30/06/2022,East Midlands,143570,172875
01/06/2022 -> 30/06/2022,East of England,148760,180255
01/06/2022 -> 30/06/2022,London,164145,237900
01/06/2022 -> 30/06/2022,North East,111305,133185
01/06/2022 -> 30/06/2022,North West,253685,322135
01/06/2022 -> 30/06/2022,South East,196400,237665
01/06/2022 -> 30/06/2022,South West,152365,181605
01/06/2022 -> 30/06/2022,East Midlands,2124730,2804150
01/06/2022 -> 30/06/2022,East of England,2807630,3660310
01/06/2022 -> 30/06/2022,London,2667430,4231095
01/06/2022 -> 30/06/2022,North East,1144020,1535855
01/06/2022 -> 30/06/2022,North West,2898895,4105635
01/06/2022 -> 30/06/2022,South East,4272625,5426330
01/06/2022 -> 30/06/2022,South West,2693395,3371385
01/06/2022 -> 30/06/2022,East Midlands,95305,109740
01/06/2022 -> 30/06/2022,East of England,111740,128995
01/06/2022 -> 30/06/2022,London,46010,62170
01/06/2022 -> 30/06/2022,North East,61130,71780
01/06/2022 -> 30/06/2022,North West,128345,155250
01/06/2022 -> 30/06/2022,South East,159130,182095
01/06/2022 -> 30/06/2022,South West,120280,136500
01/06/2022 -> 30/06/2022,East Midlands,317155,402685
01/06/2022 -> 30/06/2022,East of England,428120,540260
01/06/2022 -> 30/06/2022,London,275205,426600
01/06/2022 -> 30/06/2022,North East,175500,228060
01/06/2022 -> 30/06/2022,North West,423685,579870
01/06/2022 -> 30/06/2022,South East,583375,722345
01/06/2022 -> 30/06/2022,South West,382775,467645
01/06/2022 -> 30/06/2022,East Midlands,341145,426875
01/06/2022 -> 30/06/2022,East of England,452630,563265
01/06/2022 -> 30/06/2022,London,284340,439385
01/06/2022 -> 30/06/2022,North East,196475,250370
01/06/2022 -> 30/06/2022,North West,473850,638200
01/06/2022 -> 30/06/2022,South East,647020,787605
01/06/2022 -> 30/06/2022,South West,437675,526645
01/06/2022 -> 30/06/2022,East Midlands,294505,364365
01/06/2022 -> 30/06/2022,East of England,368150,455965
01/06/2022 -> 30/06/2022,London,316315,474465
01/06/2022 -> 30/06/2022,North East,167340,211150
01/06/2022 -> 30/06/2022,North West,419265,557485
01/06/2022 -> 30/06/2022,South East,567785,689080
01/06/2022 -> 30/06/2022,South West,378780,455165
01/06/2022 -> 30/06/2022,East Midlands,632510,716690
01/06/2022 -> 30/06/2022,East of England,879570,1006080
01/06/2022 -> 30/06/2022,London,1117595,1499150
01/06/2022 -> 30/06/2022,North East,335335,379575
01/06/2022 -> 30/06/2022,North West,940065,1099465
01/06/2022 -> 30/06/2022,South East,1527360,1727405
01/06/2022 -> 30/06/2022,South West,907725,1009805
01/06/2022 -> 30/06/2022,East Midlands,446755,539135
01/06/2022 -> 30/06/2022,East of England,522335,621610
01/06/2022 -> 30/06/2022,London,418195,602600
01/06/2022 -> 30/06/2022,North East,272185,330615
01/06/2022 -> 30/06/2022,North West,620225,798600
01/06/2022 -> 30/06/2022,South East,640120,756200
01/06/2022 -> 30/06/2022,South West,445195,515465
01/06/2022 -> 30/06/2022,East Midlands,100845,138095
01/06/2022 -> 30/06/2022,East of England,128060,175910
01/06/2022 -> 30/06/2022,London,222535,372535
01/06/2022 -> 30/06/2022,North East,47750,59665
01/06/2022 -> 30/06/2022,North West,123830,173415
01/06/2022 -> 30/06/2022,South East,184965,245645
01/06/2022 -> 30/06/2022,South West,104120,132395
01/06/2022 -> 30/06/2022,East Midlands,4640,9155
01/06/2022 -> 30/06/2022,East of England,11895,23525
01/06/2022 -> 30/06/2022,London,68925,148510
01/06/2022 -> 30/06/2022,North East,3610,7300
01/06/2022 -> 30/06/2022,North West,12025,28210
01/06/2022 -> 30/06/2022,South East,11635,18995
01/06/2022 -> 30/06/2022,South West,3530,5495
01/06/2022 -> 30/06/2022,East Midlands,11780,28795
01/06/2022 -> 30/06/2022,East of England,22785,46880
01/06/2022 -> 30/06/2022,London,121180,321015
01/06/2022 -> 30/06/2022,North East,2660,5795
01/06/2022 -> 30/06/2022,North West,14875,36350
01/06/2022 -> 30/06/2022,South East,29230,58825
01/06/2022 -> 30/06/2022,South West,6875,14335
01/06/2022 -> 30/06/2022,East Midlands,10240,21095
01/06/2022 -> 30/06/2022,East of England,12810,26105
01/06/2022 -> 30/06/2022,London,78050,217330
01/06/2022 -> 30/06/2022,North East,515,825
01/06/2022 -> 30/06/2022,North West,7015,14925
01/06/2022 -> 30/06/2022,South East,14115,26115
01/06/2022 -> 30/06/2022,South West,5700,10555
01/06/2022 -> 30/06/2022,East Midlands,7755,11125
01/06/2022 -> 30/06/2022,East of England,14915,19490
01/06/2022 -> 30/06/2022,London,51095,69920
01/06/2022 -> 30/06/2022,North East,4455,6430
01/06/2022 -> 30/06/2022,North West,18295,24015
01/06/2022 -> 30/06/2022,South East,23585,30235
01/06/2022 -> 30/06/2022,South West,8655,11060
01/06/2022 -> 30/06/2022,East Midlands,92935,127225
01/06/2022 -> 30/06/2022,East of England,55040,68775
01/06/2022 -> 30/06/2022,London,274555,365220
01/06/2022 -> 30/06/2022,North East,7540,10105
01/06/2022 -> 30/06/2022,North West,45200,74475
01/06/2022 -> 30/06/2022,South East,93550,117780
01/06/2022 -> 30/06/2022,South West,18160,23425
01/06/2022 -> 30/06/2022,East Midlands,22375,46420
01/06/2022 -> 30/06/2022,East of England,35505,65205
01/06/2022 -> 30/06/2022,London,92960,196975
01/06/2022 -> 30/06/2022,North East,7870,13265
01/06/2022 -> 30/06/2022,North West,30490,64055
01/06/2022 -> 30/06/2022,South East,57480,96335
01/06/2022 -> 30/06/2022,South West,25870,43695
01/06/2022 -> 30/06/2022,East Midlands,24745,43340
01/06/2022 -> 30/06/2022,East of England,42900,65590
01/06/2022 -> 30/06/2022,London,242215,445105
01/06/2022 -> 30/06/2022,North East,8300,13420
01/06/2022 -> 30/06/2022,North West,29815,56240
01/06/2022 -> 30/06/2022,South East,83260,119245
01/06/2022 -> 30/06/2022,South West,22420,32845
01/06/2022 -> 30/06/2022,East Midlands,14265,33900
01/06/2022 -> 30/06/2022,East of England,19810,47295
01/06/2022 -> 30/06/2022,London,68695,144710
01/06/2022 -> 30/06/2022,North East,6495,13570
01/06/2022 -> 30/06/2022,North West,49100,130265
01/06/2022 -> 30/06/2022,South East,32760,68330
01/06/2022 -> 30/06/2022,South West,4345,7915
01/06/2022 -> 30/06/2022,East Midlands,2264260,2825830
01/06/2022 -> 30/06/2022,East of England,2896460,3591005
01/06/2022 -> 30/06/2022,London,1727035,2256905
01/06/2022 -> 30/06/2022,North East,1348345,1746390
01/06/2022 -> 30/06/2022,North West,3212960,4290670
01/06/2022 -> 30/06/2022,South East,4317330,5270120
01/06/2022 -> 30/06/2022,South West,2959510,3605705
01/06/2022 -> 30/06/2022,East Midlands,58155,113650
01/06/2022 -> 30/06/2022,East of England,126980,216680
01/06/2022 -> 30/06/2022,London,352595,642720
01/06/2022 -> 30/06/2022,North East,16075,27720
01/06/2022 -> 30/06/2022,North West,78300,134020
01/06/2022 -> 30/06/2022,South East,198475,312840
01/06/2022 -> 30/06/2022,South West,78555,127875
01/06/2022 -> 30/06/2022,East Midlands,359100,565990
01/06/2022 -> 30/06/2022,East of England,508455,758980
01/06/2022 -> 30/06/2022,London,471510,926765
01/06/2022 -> 30/06/2022,North East,207510,323160
01/06/2022 -> 30/06/2022,North West,489655,869290
01/06/2022 -> 30/06/2022,South East,773440,1120550
01/06/2022 -> 30/06/2022,South West,506300,711025
01/06/2022 -> 30/06/2022,East Midlands,450680,619255
01/06/2022 -> 30/06/2022,East of England,616835,820090
01/06/2022 -> 30/06/2022,London,548825,969275
01/06/2022 -> 30/06/2022,North East,250090,351975
01/06/2022 -> 30/06/2022,North West,591620,920930
01/06/2022 -> 30/06/2022,South East,922855,1201350
01/06/2022 -> 30/06/2022,South West,622570,786605
01/06/2022 -> 30/06/2022,East Midlands,538430,685205
01/06/2022 -> 30/06/2022,East of England,683500,859745
01/06/2022 -> 30/06/2022,London,611860,963680
01/06/2022 -> 30/06/2022,North East,286345,376310
01/06/2022 -> 30/06/2022,North West,715655,980095
01/06/2022 -> 30/06/2022,South East,1033550,1279085
01/06/2022 -> 30/06/2022,South West,662150,806045
01/06/2022 -> 30/06/2022,East Midlands,566535,686960
01/06/2022 -> 30/06/2022,East of England,706385,869685
01/06/2022 -> 30/06/2022,London,673075,960450
01/06/2022 -> 30/06/2022,North East,318470,390570
01/06/2022 -> 30/06/2022,North West,818055,1028680
01/06/2022 -> 30/06/2022,South East,1057065,1268585
01/06/2022 -> 30/06/2022,South West,669130,799660
01/06/2022 -> 30/06/2022,East Midlands,596415,703100
01/06/2022 -> 30/06/2022,East of England,723945,862050
01/06/2022 -> 30/06/2022,London,772025,988250
01/06/2022 -> 30/06/2022,North East,343480,402780
01/06/2022 -> 30/06/2022,North West,883080,1054195
01/06/2022 -> 30/06/2022,South East,1074495,1249280
01/06/2022 -> 30/06/2022,South West,673445,779545
01/06/2022 -> 30/06/2022,East Midlands,2412040,3077615
01/06/2022 -> 30/06/2022,East of England,3120335,3950580
01/06/2022 -> 30/06/2022,London,2532420,3795565
01/06/2022 -> 30/06/2022,North East,1383090,1803030
01/06/2022 -> 30/06/2022,North West,3388885,4630825
01/06/2022 -> 30/06/2022,South East,4665390,5793485
01/06/2022 -> 30/06/2022,South West,3070475,3770635
01/06/2022 -> 30/06/2022,East Midlands,99120,182915
01/06/2022 -> 30/06/2022,East of England,118785,219980
01/06/2022 -> 30/06/2022,London,544880,1012855
01/06/2022 -> 30/06/2022,North East,22810,41785
01/06/2022 -> 30/06/2022,North West,109195,222380
01/06/2022 -> 30/06/2022,South East,196030,325360
01/06/2022 -> 30/06/2022,South West,63120,112260
01/06/2022 -> 30/06/2022,East Midlands,363320,424040
01/06/2022 -> 30/06/2022,East of England,540805,632430
01/06/2022 -> 30/06/2022,London,582405,759200
01/06/2022 -> 30/06/2022,North East,168080,196365
01/06/2022 -> 30/06/2022,North West,505685,608160
01/06/2022 -> 30/06/2022,South East,930730,1077180
01/06/2022 -> 30/06/2022,South West,505385,578600
01/06/2022 -> 30/06/2022,East Midlands,599425,727235
01/06/2022 -> 30/06/2022,East of England,831545,1011870
01/06/2022 -> 30/06/2022,London,825870,1166005
01/06/2022 -> 30/06/2022,North East,322440,392330
01/06/2022 -> 30/06/2022,North West,843710,1075945
01/06/2022 -> 30/06/2022,South East,1347280,1614300
01/06/2022 -> 30/06/2022,South West,804455,954075
01/06/2022 -> 30/06/2022,East Midlands,255360,321365
01/06/2022 -> 30/06/2022,East of England,351210,439685
01/06/2022 -> 30/06/2022,London,333235,509260
01/06/2022 -> 30/06/2022,North East,162370,204810
01/06/2022 -> 30/06/2022,North West,398330,534420
01/06/2022 -> 30/06/2022,South East,524455,645300
01/06/2022 -> 30/06/2022,South West,320665,386460
01/06/2022 -> 30/06/2022,East Midlands,309490,409715
01/06/2022 -> 30/06/2022,East of England,450750,604395
01/06/2022 -> 30/06/2022,London,378270,628710
01/06/2022 -> 30/06/2022,North East,134990,182375
01/06/2022 -> 30/06/2022,North West,412450,595935
01/06/2022 -> 30/06/2022,South East,651955,855800
01/06/2022 -> 30/06/2022,South West,463165,583645
01/06/2022 -> 30/06/2022,East Midlands,249155,323595
01/06/2022 -> 30/06/2022,East of England,277105,362195
01/06/2022 -> 30/06/2022,London,189590,306725
01/06/2022 -> 30/06/2022,North East,148650,192560
01/06/2022 -> 30/06/2022,North West,326470,449540
01/06/2022 -> 30/06/2022,South East,376410,485745
01/06/2022 -> 30/06/2022,South West,270565,341485
01/06/2022 -> 30/06/2022,East Midlands,316685,439000
01/06/2022 -> 30/06/2022,East of England,358110,489970
01/06/2022 -> 30/06/2022,London,294845,514705
01/06/2022 -> 30/06/2022,North East,200670,279275
01/06/2022 -> 30/06/2022,North West,450140,672180
01/06/2022 -> 30/06/2022,South East,477330,641810
01/06/2022 -> 30/06/2022,South West,357425,469725
01/06/2022 -> 30/06/2022,East Midlands,330970,458835
01/06/2022 -> 30/06/2022,East of England,322280,446290
01/06/2022 -> 30/06/2022,London,232850,410115
01/06/2022 -> 30/06/2022,North East,208965,283890
01/06/2022 -> 30/06/2022,North West,418635,624550
01/06/2022 -> 30/06/2022,South East,394465,540225
01/06/2022 -> 30/06/2022,South West,309960,409795
01/06/2022 -> 30/06/2022,East Midlands,47450,93435
01/06/2022 -> 30/06/2022,East of England,53195,101320
01/06/2022 -> 30/06/2022,London,113055,292555
01/06/2022 -> 30/06/2022,North East,40665,80655
01/06/2022 -> 30/06/2022,North West,83925,189770
01/06/2022 -> 30/06/2022,South East,69300,126465
01/06/2022 -> 30/06/2022,South West,43385,76200
01/06/2022 -> 30/06/2022,East Midlands,39300,63315
01/06/2022 -> 30/06/2022,East of England,54090,82410
01/06/2022 -> 30/06/2022,London,127170,221140
01/06/2022 -> 30/06/2022,North East,19120,32550
01/06/2022 -> 30/06/2022,North West,58745,102720
01/06/2022 -> 30/06/2022,South East,89515,132025
01/06/2022 -> 30/06/2022,South West,58580,82905
01/06/2022 -> 30/06/2022,East Midlands,6310,8530
01/06/2022 -> 30/06/2022,East of England,11770,15695
01/06/2022 -> 30/06/2022,London,32740,46835
01/06/2022 -> 30/06/2022,North East,2820,3905
01/06/2022 -> 30/06/2022,North West,9845,13680
01/06/2022 -> 30/06/2022,South East,23485,30600
01/06/2022 -> 30/06/2022,South West,10855,14455
01/06/2022 -> 30/06/2022,East Midlands,1581290,1929185
01/06/2022 -> 30/06/2022,East of England,2024245,2479660
01/06/2022 -> 30/06/2022,London,1519710,2310045
01/06/2022 -> 30/06/2022,North East,1012615,1262255
01/06/2022 -> 30/06/2022,North West,2513230,3296575
01/06/2022 -> 30/06/2022,South East,3042070,3660675
01/06/2022 -> 30/06/2022,South West,1983510,2341300
01/06/2022 -> 30/06/2022,East Midlands,55725,67790
01/06/2022 -> 30/06/2022,East of England,36590,44675
01/06/2022 -> 30/06/2022,London,209200,270510
01/06/2022 -> 30/06/2022,North East,3535,4695
01/06/2022 -> 30/06/2022,North West,20385,25045
01/06/2022 -> 30/06/2022,South East,58940,72165
01/06/2022 -> 30/06/2022,South West,8945,11060
01/06/2022 -> 30/06/2022,East Midlands,2315,2785
01/06/2022 -> 30/06/2022,East of England,25085,28610
01/06/2022 -> 30/06/2022,London,66350,87295
01/06/2022 -> 30/06/2022,North East,1305,2795
01/06/2022 -> 30/06/2022,North West,13900,18945
01/06/2022 -> 30/06/2022,South East,10785,12595
01/06/2022 -> 30/06/2022,South West,4085,4850
01/06/2022 -> 30/06/2022,East Midlands,40550,92995
01/06/2022 -> 30/06/2022,East of England,48735,103940
01/06/2022 -> 30/06/2022,London,269330,627685
01/06/2022 -> 30/06/2022,North East,13925,28580
01/06/2022 -> 30/06/2022,North West,92445,234050
01/06/2022 -> 30/06/2022,South East,69115,133905
01/06/2022 -> 30/06/2022,South West,16410,31145
01/06/2022 -> 30/06/2022,East Midlands,642880,913360
01/06/2022 -> 30/06/2022,East of England,862930,1193740
01/06/2022 -> 30/06/2022,London,699835,1023480
01/06/2022 -> 30/06/2022,North East,292710,434385
01/06/2022 -> 30/06/2022,North West,651135,979525
01/06/2022 -> 30/06/2022,South East,1293175,1732800
01/06/2022 -> 30/06/2022,South West,874925,1175225
01/06/2022 -> 30/06/2022,East Midlands,9875,13730
01/06/2022 -> 30/06/2022,East of England,13785,19105
01/06/2022 -> 30/06/2022,London,21810,30890
01/06/2022 -> 30/06/2022,North East,3675,5145
01/06/2022 -> 30/06/2022,North West,9220,13975
01/06/2022 -> 30/06/2022,South East,20485,29305
01/06/2022 -> 30/06/2022,South West,15835,23315
01/06/2022 -> 30/06/2022,East Midlands,148990,199630
01/06/2022 -> 30/06/2022,East of England,205330,270540
01/06/2022 -> 30/06/2022,London,200115,326080
01/06/2022 -> 30/06/2022,North East,72355,98870
01/06/2022 -> 30/06/2022,North West,184045,265180
01/06/2022 -> 30/06/2022,South East,311640,403475
01/06/2022 -> 30/06/2022,South West,215845,277105
01/06/2022 -> 30/06/2022,East Midlands,23240,32500
01/06/2022 -> 30/06/2022,East of England,10615,14570
01/06/2022 -> 30/06/2022,London,58235,85625
01/06/2022 -> 30/06/2022,North East,2945,4170
01/06/2022 -> 30/06/2022,North West,3860,6220
01/06/2022 -> 30/06/2022,South East,31720,43335
01/06/2022 -> 30/06/2022,South West,3200,4440
01/06/2022 -> 30/06/2022,East Midlands,787335,942835
01/06/2022 -> 30/06/2022,East of England,1087310,1308100
01/06/2022 -> 30/06/2022,London,8500,11290
01/06/2022 -> 30/06/2022,North East,289475,359915
01/06/2022 -> 30/06/2022,North West,475190,575370
01/06/2022 -> 30/06/2022,South East,1138495,1357030
01/06/2022 -> 30/06/2022,South West,1071820,1277135
01/06/2022 -> 30/06/2022,East Midlands,1723825,2317690
01/06/2022 -> 30/06/2022,East of England,2151790,2862450
01/06/2022 -> 30/06/2022,London,3068805,4797145
01/06/2022 -> 30/06/2022,North East,1116435,1484895
01/06/2022 -> 30/06/2022,North West,3022895,4277840
01/06/2022 -> 30/06/2022,South East,3722940,4761805
01/06/2022 -> 30/06/2022,South West,2061775,2605750
01/06/2022 -> 30/06/2022,East Midlands,1339685,1689660
01/06/2022 -> 30/06/2022,East of England,1726195,2168260
01/06/2022 -> 30/06/2022,London,1638535,2519630
01/06/2022 -> 30/06/2022,North East,758880,964095
01/06/2022 -> 30/06/2022,North West,1869795,2524955
01/06/2022 -> 30/06/2022,South East,2598090,3190630
01/06/2022 -> 30/06/2022,South West,1681495,2030950
01/06/2022 -> 30/06/2022,East Midlands,1171475,1570870
01/06/2022 -> 30/06/2022,East of England,1512915,2002295
01/06/2022 -> 30/06/2022,London,1438775,2288790
01/06/2022 -> 30/06/2022,North East,647010,880700
01/06/2022 -> 30/06/2022,North West,1628290,2328250
01/06/2022 -> 30/06/2022,South East,2263335,2928220
01/06/2022 -> 30/06/2022,South West,1452095,1851940
01/06/2022 -> 30/06/2022,East Midlands,15145,22290
01/06/2022 -> 30/06/2022,East of England,21660,31480
01/06/2022 -> 30/06/2022,London,51925,77745
01/06/2022 -> 30/06/2022,North East,6765,10825
01/06/2022 -> 30/06/2022,North West,21765,35105
01/06/2022 -> 30/06/2022,South East,37360,52650
01/06/2022 -> 30/06/2022,South West,24940,34200
01/06/2022 -> 30/06/2022,East Midlands,34315,45945
01/06/2022 -> 30/06/2022,East of England,48545,64215
01/06/2022 -> 30/06/2022,London,59995,98980
01/06/2022 -> 30/06/2022,North East,14835,19480
01/06/2022 -> 30/06/2022,North West,40705,59515
01/06/2022 -> 30/06/2022,South East,88130,114420
01/06/2022 -> 30/06/2022,South West,51655,65625
01/06/2022 -> 30/06/2022,East Midlands,1938875,2338805
01/06/2022 -> 30/06/2022,East of England,2451265,2941745
01/06/2022 -> 30/06/2022,London,1942605,2580235
01/06/2022 -> 30/06/2022,North East,1041360,1267070
01/06/2022 -> 30/06/2022,North West,2692345,3435720
01/06/2022 -> 30/06/2022,South East,3664155,4320940
01/06/2022 -> 30/06/2022,South West,2361460,2750120
01/06/2022 -> 30/06/2022,East Midlands,274720,437740
01/06/2022 -> 30/06/2022,East of England,367815,569100
01/06/2022 -> 30/06/2022,London,517680,973105
01/06/2022 -> 30/06/2022,North East,131415,214450
01/06/2022 -> 30/06/2022,North West,364355,632795
01/06/2022 -> 30/06/2022,South East,605185,897880
01/06/2022 -> 30/06/2022,South West,407430,588315
01/06/2022 -> 30/06/2022,East Midlands,248115,415720
01/06/2022 -> 30/06/2022,East of England,349815,564020
01/06/2022 -> 30/06/2022,London,505105,1078370
01/06/2022 -> 30/06/2022,North East,211515,332975
01/06/2022 -> 30/06/2022,North West,378900,690060
01/06/2022 -> 30/06/2022,South East,466600,732965
01/06/2022 -> 30/06/2022,South West,288095,444635
01/06/2022 -> 30/06/2022,East Midlands,282920,562945
01/06/2022 -> 30/06/2022,East Midlands,269130,457075
01/06/2022 -> 30/06/2022,East Midlands,355765,479780
01/06/2022 -> 30/06/2022,East Midlands,514135,600375
01/06/2022 -> 30/06/2022,East Midlands,464100,507730
01/06/2022 -> 30/06/2022,East Midlands,402220,421035
01/06/2022 -> 30/06/2022,East Midlands,222890,231585
01/06/2022 -> 30/06/2022,East of England,348485,678470
01/06/2022 -> 30/06/2022,East of England,353105,587595
01/06/2022 -> 30/06/2022,East of England,484885,652920
01/06/2022 -> 30/06/2022,East of England,653565,761085
01/06/2022 -> 30/06/2022,East of England,580395,635385
01/06/2022 -> 30/06/2022,East of England,513035,537300
01/06/2022 -> 30/06/2022,East of England,305630,317790
01/06/2022 -> 30/06/2022,London,397110,931530
01/06/2022 -> 30/06/2022,London,437610,858480
01/06/2022 -> 30/06/2022,London,539780,897665
01/06/2022 -> 30/06/2022,London,616315,846075
01/06/2022 -> 30/06/2022,London,503215,617305
01/06/2022 -> 30/06/2022,London,361560,407490
01/06/2022 -> 30/06/2022,London,221710,249880
01/06/2022 -> 30/06/2022,North East,150170,313590
01/06/2022 -> 30/06/2022,North East,151485,265900
01/06/2022 -> 30/06/2022,North East,189205,260445
01/06/2022 -> 30/06/2022,North East,282135,331915
01/06/2022 -> 30/06/2022,North East,280550,305885
01/06/2022 -> 30/06/2022,North East,226170,236205
01/06/2022 -> 30/06/2022,North East,126175,130865
01/06/2022 -> 30/06/2022,North West,368805,850925
01/06/2022 -> 30/06/2022,North West,379235,728680
01/06/2022 -> 30/06/2022,North West,490655,719875
